sort,school,mascot,city,state,first,last,years,games,wins,losses,win_pct,srs,sos,polls_ap,champ_seas,champ_conf,appear_ncaa,appear_four,champ_ncaa
27,Boise State,Broncos,Boise,ID,1983,2023,41,1207,660,547,0.547,0.8,0.66,1,7,6,6,0,0
28,Boston College,Eagles,Chestnut Hill,MA,1983,2023,41,1218,644,574,0.529,8.79,8.64,5,0,1,7,0,0
29,Boston University,Terriers,Boston,MA,1982,2023,42,1218,606,612,0.498,-5.33,-2.85,0,5,3,1,0,0
30,Bowling Green State,Falcons,Bowling Green,OH,1982,2023,42,1254,781,473,0.623,0.6,-0.05,4,15,10,11,0,0
31,Bradley,Braves,Peoria,IL,1983,2023,41,1171,503,668,0.43,-3.18,0.07,0,0,1,1,0,0
32,Brigham Young,Cougars,Provo,UT,1983,2023,41,1228,798,430,0.65,5.22,3.03,2,8,4,15,0,0
33,Brooklyn,Bulldogs,Brooklyn,NY,1983,1992,10,260,82,178,0.315,,,0,0,0,,,
34,Brown,Bears,Providence,RI,1982,2023,41,1106,513,593,0.464,-9.85,-4.38,0,6,0,1,0,0
35,Bryant,Bulldogs,Smithfield,RI,2009,2023,15,445,191,254,0.429,-13.84,-10.56,0,1,0,0,0,0
36,Bucknell,Bison,Lewisburg,PA,1983,2023,41,1167,576,591,0.494,-3.18,-4.01,0,7,4,4,0,0
37,Buffalo,Bulls,Buffalo,NY,1992,2023,32,951,484,467,0.509,1.49,0.03,0,4,5,4,0,0
38,Butler,Bulldogs,Indianapolis,IN,1985,2023,39,1140,556,584,0.488,0.32,5.09,0,2,1,1,0,0
39,Cal Poly,Mustangs,San Luis Obispo,CA,1995,2023,29,827,359,468,0.434,-2.99,-0.8,0,2,1,1,0,0
40,Cal State Bakersfield,Roadrunners,Bakersfield,CA,2008,2023,16,465,225,240,0.484,-5.42,-3.32,0,0,0,0,0,0
41,Cal State Fullerton,Titans,Fullerton,CA,1982,2023,42,1213,471,742,0.388,-8.04,-1.77,0,0,0,2,0,0
42,Cal State Northridge,Matadors,Northridge,CA,1991,2023,32,926,333,593,0.36,-4.8,0.19,0,2,4,4,0,0
43,California Baptist,Lancers,Riverside,CA,2019,2023,5,149,100,49,0.671,-0.31,-5.62,0,1,1,0,0,0
44,California Golden,Bears,Berkeley,CA,1983,2023,41,1226,656,570,0.535,13.09,11.91,5,1,0,14,1,0
45,Campbell Fighting,Camels,Buies Creek,NC,1987,2023,37,1073,596,477,0.555,-10.58,-12.27,0,5,2,1,0,0
