team_id,school,mascot,city,state,first,last,years,games,wins,losses,win_pct,srs,sos,polls_ap,champ_seas,champ_conf,appear_ncaa,appear_four,champ_ncaa
460,Weber State,Wildcats,Ogden,UT,1964,2023,60,1767,1106,661,0.626,0.18,-2.64,1,22,10,16,0,0
461,Wesleyan (CT),Cardinals,Middletown,CT,1896,1913,13,171,97,74,0.567,,,0,0,0,,,
462,West Chester,Golden Rams,West Chester,PA,1899,1982,10,244,86,158,0.352,-17.61,-8.15,0,1,0,0,0,0
463,West Texas A&M,Buffaloes,Canyon,TX,1921,1986,54,1275,707,568,0.555,-6.34,-1.64,0,4,0,1,0,0
464,West Virginia,Mountaineers,Morgantown West,VA,1904,2023,114,2995,1845,1150,0.616,7.51,2.97,19,16,13,30,2,0
465,Western Carolina,Catamounts,Cullowhee,NC,1977,2023,47,1386,609,777,0.439,-8.5,-3.72,0,3,1,1,0,0
466,Western Colorado,Mountaineers,Gunnison,CO,1924,1937,14,189,88,101,0.466,,,0,0,0,,,
467,Western Illinois,Leathernecks,Macomb,IL,1982,2023,42,1199,498,701,0.415,-8.61,-3.75,0,2,1,0,0,0
468,Western Kentucky,Hilltoppers,Bowling Green,KY,1922,2023,102,2839,1868,971,0.658,3.3,-0.1,11,29,19,23,1,0
469,Western Michigan,Broncos,Kalamazoo,MI,1914,2023,110,2663,1368,1294,0.514,-3.04,-0.16,1,11,2,4,0,0
470,Westminster (MO),Blue Jays,Fulton,MO,1920,1920,1,17,17,0,1,,,0,0,0,,,
471,Westminster (PA),Titans,New Wilmington,PA,1898,1935,21,294,210,84,0.714,,,0,0,0,,,
472,Wheaton (IL),Thunder,Wheaton,IL,1902,1905,4,57,39,17,0.696,,,0,0,0,,,
473,Whittier,Poets,Whittier,CA,1909,1915,3,42,38,3,0.927,,,0,0,0,,,
474,Wichita State,Shockers,Wichita,KS,1906,2023,116,2899,1655,1244,0.571,6.14,3.38,8,12,4,16,2,0
475,Widener,Pride,Chester,PA,1899,1909,5,26,20,6,0.769,,,0,0,0,,,
476,William & Mary,Tribe,Williamsburg,VA,1906,2023,118,2749,1279,1470,0.465,-5.63,-2.63,0,3,0,0,0,0
477,Williams,Ephs,Williamstown,MA,1901,1911,10,161,136,24,0.85,,,0,0,0,,,
478,Winthrop,Eagles,Rock Hill,SC,1987,2023,37,1117,620,497,0.555,-7.05,-6.62,1,12,13,11,0,0
479,Wisconsin,Badgers,Madison,WA,1899,2023,125,2952,1694,1258,0.574,8.85,7.87,18,20,3,26,4,1
480,Wisconsin-Stevens Point,Pointers,Stevens Point,WA,1898,1918,21,156,98,58,0.628,,,0,0,0,,,
481,Wisconsin-Superior,Yellowjackets,Superior,WA,1900,1901,2,14,10,4,0.714,,,0,0,0,,,
482,Wittenberg,Tigers,Springfield,OH,1931,1931,1,20,18,2,0.9,,,0,0,0,,,
483,Wofford,Terriers,Spartanburg,SC,1996,2023,28,860,437,423,0.508,-4.72,-2.61,1,4,5,5,0,0
